iter	Passed	Remaining
0	151	151598
1	153	76373
2	154	51300
3	155	38784
4	158	31612
5	160	26576
6	161	22929
7	162	20195
8	164	18076
9	165	16370
10	166	14977
11	167	13810
12	168	12826
13	171	12097
14	173	11383
15	174	10760
16	176	10201
17	177	9695
18	179	9256
19	181	8871
20	183	8566
21	185	8251
22	186	7936
23	188	7648
24	189	7389
25	190	7143
26	192	6940
27	194	6735
28	197	6614
29	199	6437
30	200	6270
31	201	6106
32	203	5956
33	204	5815
34	205	5676
35	206	5542
36	208	5423
37	210	5332
38	211	5223
39	213	5116
40	214	5016
41	215	4920
42	216	4829
43	218	4744
44	219	4662
45	220	4579
46	223	4535
47	225	4463
48	226	4393
49	227	4322
50	228	4256
51	229	4191
52	231	4130
53	232	4069
54	233	4012
55	235	3965
56	237	3928
57	238	3880
58	240	3828
59	241	3782
60	242	3736
61	243	3688
62	245	3644
63	246	3601
64	247	3561
65	249	3537
66	251	3502
67	252	3464
68	253	3426
69	255	3388
70	256	3352
71	257	3316
72	258	3282
73	259	3250
74	260	3218
75	262	3189
76	264	3171
77	265	3142
78	267	3113
79	268	3085
80	269	3057
81	270	3029
82	271	2996
83	272	2970
84	273	2945
85	274	2922
86	276	2906
87	278	2889
88	280	2868
89	281	2846
90	282	2824
91	284	2803
92	285	2784
93	286	2763
94	287	2743
95	289	2723
96	291	2713
97	292	2695
98	294	2676
99	295	2657
100	296	2638
101	297	2620
102	298	2602
103	300	2585
104	301	2567
105	302	2551
106	304	2542
107	306	2530
108	307	2514
109	308	2499
110	310	2484
111	311	2469
112	312	2455
113	314	2441
114	315	2426
115	316	2412
116	318	2405
117	320	2396
118	321	2382
119	323	2369
120	324	2356
121	325	2342
122	326	2328
123	327	2314
124	328	2301
125	330	2289
126	331	2282
127	333	2274
128	335	2263
129	336	2251
130	337	2239
131	338	2228
132	340	2218
133	341	2207
134	342	2197
135	344	2185
136	346	2182
137	347	2173
138	349	2162
139	350	2152
140	351	2142
141	352	2129
142	353	2120
143	355	2110
144	356	2099
145	357	2090
146	359	2085
147	361	2079
148	362	2071
149	363	2062
150	365	2053
151	366	2044
152	367	2035
153	368	2026
154	370	2017
155	371	2009
156	373	2005
157	375	2002
158	377	1995
159	378	1987
160	379	1977
161	380	1969
162	382	1963
163	383	1955
164	384	1947
165	385	1939
166	388	1938
167	390	1931
168	391	1924
169	392	1916
170	393	1909
171	395	1902
172	396	1895
173	397	1888
174	398	1880
175	401	1877
176	402	1873
177	404	1867
178	405	1859
179	406	1852
180	408	1846
181	409	1839
182	410	1832
183	411	1825
184	412	1818
185	415	1816
186	417	1813
187	418	1807
188	419	1801
189	421	1794
190	422	1788
191	423	1781
192	424	1775
193	425	1769
194	427	1763
195	429	1761
196	431	1757
197	432	1751
198	433	1745
199	434	1739
200	435	1733
201	437	1726
202	438	1720
203	439	1714
204	440	1708
205	442	1706
206	445	1705
207	446	1700
208	448	1695
209	449	1690
210	451	1688
211	453	1684
212	454	1679
213	459	1687
214	461	1684
215	462	1679
216	464	1675
217	465	1670
218	466	1664
219	468	1659
220	469	1655
221	474	1661
222	475	1657
223	477	1654
224	478	1649
225	480	1644
226	481	1639
227	482	1635
228	485	1633
229	487	1631
230	488	1626
231	490	1622
232	491	1617
233	492	1613
234	494	1608
235	495	1603
236	496	1599
237	502	1608
238	503	1604
239	505	1600
240	506	1595
241	507	1591
242	509	1586
243	510	1582
244	513	1583
245	515	1581
246	517	1577
247	519	1574
248	520	1569
249	521	1565
250	523	1560
251	524	1556
252	526	1553
253	528	1552
254	530	1548
255	531	1544
256	532	1540
257	534	1536
258	535	1531
259	537	1528
260	538	1525
261	541	1526
262	544	1525
263	545	1522
264	547	1517
265	548	1513
266	549	1509
267	551	1505
268	552	1500
269	553	1496
270	556	1497
271	558	1493
272	559	1490
273	560	1485
274	562	1481
275	563	1477
276	564	1473
277	566	1470
278	568	1468
279	570	1466
280	571	1462
281	572	1458
282	574	1454
283	575	1450
284	577	1447
285	578	1444
286	579	1440
287	582	1440
288	585	1439
289	586	1436
290	587	1432
291	589	1428
292	590	1425
293	591	1421
294	594	1420
295	596	1419
296	599	1417
297	600	1415
298	602	1411
299	603	1407
300	604	1404
301	606	1400
302	607	1396
303	608	1392
304	610	1390
305	612	1389
306	614	1387
307	615	1383
308	617	1379
309	618	1377
310	619	1373
311	621	1369
312	622	1365
313	624	1363
314	626	1362
315	628	1359
316	629	1356
317	630	1353
318	632	1349
319	633	1346
320	634	1343
321	636	1339
322	639	1339
323	641	1337
324	642	1334
325	643	1330
326	644	1327
327	646	1323
328	647	1320
329	648	1316
330	649	1313
331	651	1309
332	653	1309
333	655	1306
334	656	1303
335	657	1299
336	658	1296
337	660	1292
338	661	1289
339	662	1286
340	663	1282
341	665	1279
342	667	1278
343	668	1275
344	670	1272
345	671	1268
346	672	1265
347	673	1262
348	675	1259
349	676	1256
350	677	1252
351	679	1251
352	681	1249
353	683	1246
354	684	1243
355	686	1241
356	687	1238
357	688	1234
358	689	1231
359	691	1228
360	692	1226
361	695	1225
362	696	1222
363	698	1219
364	699	1216
365	700	1213
366	701	1210
367	702	1207
368	704	1204
369	705	1201
370	707	1200
371	709	1198
372	711	1195
373	712	1192
374	713	1189
375	714	1186
376	716	1183
377	717	1180
378	718	1177
379	719	1174
380	721	1172
381	723	1170
382	725	1168
383	726	1165
384	727	1162
385	728	1159
386	730	1156
387	731	1153
388	732	1150
389	734	1148
390	736	1147
391	737	1144
392	739	1141
393	740	1139
394	741	1136
395	742	1133
396	744	1130
397	745	1127
398	746	1124
399	748	1123
400	750	1120
401	751	1118
402	752	1115
403	753	1112
404	755	1109
405	756	1106
406	757	1103
407	758	1100
408	760	1098
409	761	1096
410	764	1095
411	765	1092
412	766	1089
413	768	1087
414	769	1084
415	770	1081
416	771	1078
417	772	1076
418	773	1073
419	775	1071
420	777	1069
421	778	1066
422	780	1064
423	781	1061
424	782	1058
425	783	1056
426	784	1053
427	786	1050
428	787	1048
429	791	1048
430	792	1046
431	793	1043
432	794	1040
433	796	1038
434	797	1035
435	798	1033
436	799	1030
437	801	1027
438	803	1027
439	805	1025
440	807	1022
441	808	1020
442	809	1018
443	811	1015
444	812	1013
445	813	1010
446	814	1008
447	817	1007
448	819	1006
449	821	1003
450	822	1001
451	824	999
452	825	996
453	826	994
454	828	992
455	829	989
456	832	988
457	834	987
458	835	984
459	836	982
460	837	979
461	839	977
462	840	974
463	841	972
464	842	969
465	844	967
466	846	966
467	848	964
468	849	962
469	850	959
470	852	957
471	853	954
472	854	952
473	856	950
474	857	947
475	860	947
476	862	945
477	863	942
478	864	940
479	865	937
480	867	935
481	868	933
482	869	930
483	871	928
484	873	927
485	875	925
486	876	923
487	877	921
488	879	918
489	880	916
490	881	913
491	882	911
492	884	909
493	885	907
494	888	906
495	889	904
496	891	901
497	892	899
498	893	897
499	895	895
500	896	892
501	897	890
502	899	888
503	902	888
504	904	886
505	905	884
506	907	881
507	908	879
508	909	877
509	911	875
510	912	873
511	915	872
512	917	871
513	919	869
514	920	867
515	922	865
516	923	863
517	925	860
518	936	868
519	937	865
520	939	863
521	940	861
522	943	860
523	945	858
524	946	856
525	948	854
526	949	852
527	950	850
528	952	847
529	953	845
530	954	843
531	958	842
532	959	840
533	960	838
534	962	836
535	963	834
536	965	832
537	968	831
538	970	830
539	973	829
540	975	827
541	977	825
542	978	823
543	981	822
544	983	820
545	986	820
546	988	818
547	990	817
548	992	815
549	994	813
550	997	812
551	1002	813
552	1005	812
553	1007	811
554	1022	819
555	1023	817
556	1042	828
557	1044	827
558	1055	832
559	1057	830
560	1059	829
561	1067	831
562	1069	829
563	1071	828
564	1074	826
565	1078	826
566	1080	825
567	1084	825
568	1086	823
569	1090	822
570	1093	821
571	1095	819
572	1097	817
573	1099	815
574	1101	814
575	1105	814
576	1108	812
577	1110	810
578	1113	809
579	1115	807
580	1120	808
581	1124	807
582	1138	814
583	1142	813
584	1146	813
585	1153	814
586	1157	814
587	1161	813
588	1164	812
589	1166	810
590	1168	808
591	1172	808
592	1174	806
593	1177	804
594	1179	802
595	1181	800
596	1184	799
597	1190	800
598	1192	798
599	1194	796
600	1197	794
601	1199	792
602	1203	792
603	1205	790
604	1207	788
605	1210	787
606	1213	785
607	1217	784
608	1222	784
609	1224	783
610	1227	781
611	1229	779
612	1233	778
613	1235	776
614	1237	774
615	1239	772
616	1241	770
617	1242	768
618	1247	768
